budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Iron Man,140000000.0,[u'Jon Favreau'],Paramount,318412101.0,266762121.0,Action / Adventure,PG-13,126,2192.0,-0.329,13,2033.0,-0.354,14,1840.0,-0.522,16,1797.0,-0.287,22,2297.0,0.899,18,1956.0,-0.278,20,29996.0,123134395.0,1,15726.0,-0.47500000000000003,1,9842.0,-0.368,2,7780.0,-0.255,3,5136.0,-0.385,4,3728.0,-0.41700000000000004,6,3532.0,-0.223,7,3209.0,-0.277,9,2412.0,-0.45799999999999996,12,"[u'Mark Fergus', u'Hawk Ostby']",Iron Man
Iron Man 2,200000000.0,[u'Jon Favreau'],Paramount,312433331.0,311500000.0,Action / Adventure,PG-13,125,1839.0,-0.485,19,2610.0,0.543,14,2163.0,-0.245,16,1738.0,-0.304,20,1419.0,-0.36,27,1111.0,-0.378,33,36338.0,159159871.0,1,14921.0,-0.588,1,8119.0,-0.48200000000000004,2,6555.0,-0.265,4,3741.0,-0.549,7,2853.0,-0.41500000000000004,9,2586.0,-0.36600000000000005,10,1837.0,-0.485,13,2280.0,-0.446,13,NA,Iron Man 2
Iron Man 3,200000000.0,[u'Shane Black'],Buena Vista,409013994.0,806426000.0,Action / Adventure,PG-13,129,2314.0,-0.6409999999999999,17,1910.0,-0.441,23,1739.0,-0.337,30,1571.0,-0.227,35,940.0,0.8150000000000001,29,1277.0,-0.7440000000000001,44,49946.0,212421084.0,1,21037.0,-0.579,1,10985.0,-0.484,2,8371.0,-0.379,5,4071.0,-0.589,7,3727.0,-0.306,11,2573.0,-0.48100000000000004,10,3341.0,-0.272,11,6453.0,-0.385,14,"[u'Shane Black', u'Drew Pearce']",Iron Man 3
Marvel's The Avengers,220000000.0,[u'Joss Whedon'],Buena Vista,623357910.0,896200000.0,Action / Adventure,PG-13,142,2935.0,-0.52,12,2913.0,-0.341,12,2113.0,-0.519,15,2326.0,-0.17,17,2232.0,-0.228,22,1933.0,-0.365,26,62088.0,270019373.0,1,30352.0,-0.511,1,17572.0,-0.434,1,14237.0,-0.253,2,7789.0,-0.488,3,5381.0,-0.41100000000000003,5,5174.0,-0.207,7,4859.0,-0.189,8,5415.0,-0.365,11,"[u'Zak Penn', u'Joss Whedon']",Marvel's The Avengers
Punisher: War Zone,35000000.0,[u'Lexi Alexander'],Lionsgate,8050977.0,2049059.0,Action,R,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244.0,5627529.0,8,848.0,-0.622,13,771.0,-0.86,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Punisher: War Zone
Spider-Man,139000000.0,[u'Sam Raimi'],Sony / Columbia,403706375.0,418002176.0,Action / Adventure,PG-13,121,2162.0,-0.364,14,2205.0,-0.61,20,1980.0,-0.585,24,2140.0,-0.278,25,1165.0,-0.298,31,1208.0,-0.614,46,41943.0,151622504.0,1,24596.0,-0.414,1,15848.0,-0.35600000000000004,2,10753.0,-0.272,2,5653.0,-0.505,3,4607.0,-0.277,5,3999.0,-0.275,7,3037.0,-0.36,10,3402.0,-0.261,13,[u'David Koepp'],Spider-Man
Spider-Man 2,200000000.0,[u'Sam Raimi'],Sony / Columbia,373585825.0,410180516.0,Action / Adventure,PG-13,127,2119.0,-0.196,19,1570.0,-0.563,20,1619.0,-0.434,26,1715.0,-0.132,23,1266.0,-0.37200000000000005,31,1758.0,1.07,24,35405.0,147002059.0,1,15904.0,-0.549,1,8857.0,-0.45799999999999996,2,5962.0,-0.37700000000000006,4,4413.0,-0.408,5,3273.0,-0.36600000000000005,8,2774.0,-0.369,10,2598.0,-0.34,12,1793.0,-0.391,16,"[u'Michael Chabon', u'Alvin Sargent', u'Alfred Gough & Miles Millar']",Spider-Man 2
Spider-Man 3,258000000.0,[u'Sam Raimi'],Sony / Columbia,336530303.0,554341323.0,Action / Adventure,PG-13,140,2482.0,-0.527,22,1835.0,0.826,18,1559.0,-0.396,21,1210.0,-0.302,26,979.0,-0.40299999999999997,37,789.0,-0.424,42,42820.0,182070572.0,1,16766.0,-0.608,1,8391.0,-0.49100000000000005,2,5673.0,-0.418,3,3091.0,-0.502,5,2426.0,-0.40700000000000003,8,2049.0,-0.401,10,2350.0,-0.506,13,2525.0,-0.485,18,[u'Alvin Sargent'],Spider-Man 3
The Amazing Spider-Man,230000000.0,[u'Marc Webb'],Sony / Columbia,262030663.0,495900000.0,Action / Adventure,PG-13,136,1783.0,-0.47200000000000003,22,1455.0,-0.35700000000000004,28,1266.0,-0.329,32,1330.0,-0.153,27,1132.0,-0.395,35,NA,NA,NA,21041.0,90854677.0,1,12008.0,-0.429,2,4670.0,-0.662,3,3509.0,-0.36700000000000005,6,3160.0,-0.368,8,2103.0,-0.524,12,2191.0,-0.644,18,2000.0,-0.38,20,2805.0,0.909,18,"[u'Steve Kloves', u'Alvin Sargent', u'James Vanderbilt']",The Amazing Spider-Man
The Amazing Spider-Man 2,NA,[u'Marc Webb'],Sony / Columbia,202853933.0,506128390.0,Action / Adventure,PG-13,142,2682.0,0.261,17,2161.0,-0.233,20,1768.0,-0.35100000000000003,28,1558.0,-0.244,35,1219.0,-0.326,36,930.0,-0.507,48,25601.0,110700722.0,1,10330.0,-0.5970000000000001,2,5446.0,-0.513,3,3752.0,-0.455,5,2524.0,-0.542,7,2055.0,-0.44,11,2119.0,-0.525,12,2272.0,-0.318,14,2126.0,-0.37700000000000006,22,"[u'Alex Kurtzman', u'Roberto Orci']",The Amazing Spider-Man 2
The Incredible Hulk,150000000.0,[u'Louis Leterrier'],Universal,134806913.0,128620638.0,Action / Adventure,PG-13,114,1205.0,-0.42,36,1006.0,-0.48,42,1070.0,-0.251,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,21375.0,74919370.0,1,8940.0,-0.5810000000000001,3,4727.0,-0.564,6,2510.0,-0.441,6,1830.0,-0.534,10,1490.0,-0.725,15,1705.0,-0.297,16,2275.0,0.063,20,1538.0,-0.35100000000000003,22,[u'Zak Penn'],The Incredible Hulk
The Punisher,33000000.0,NA,Lions Gate,33810189.0,20889916.0,Action / Crime,R,119,733.0,-0.324,74,1249.0,4.9,34,904.0,-0.24600000000000002,39,NA,-0.379,51,NA,NA,NA,NA,NA,NA,6750.0,17879621.0,2,3157.0,-0.532,4,2075.0,-0.438,8,1157.0,-0.647,10,972.0,-0.685,23,944.0,-0.629,30,914.0,-0.605,50,754.0,-0.45,62,741.0,-0.28,66,"[u'Jonathan Hensleigh', u'Michael France']",The Punisher
The Wolverine,120000000.0,[u'James Mangold'],Fox,132556852.0,282271394.0,Action,PG-13,126,1135.0,-0.386,23,1069.0,-0.31,28,1146.0,0.01,29,1040.0,-0.172,30,868.0,-0.33899999999999997,34,805.0,-0.327,41,18683.0,73313850.0,1,8104.0,-0.5820000000000001,2,4202.0,-0.6070000000000001,7,3827.0,-0.455,10,2425.0,-0.465,15,2585.0,-0.273,19,1430.0,-0.609,20,1418.0,-0.233,20,1317.0,-0.20600000000000002,21,"[u'Mark Bomback', u'Scott Frank']",The Wolverine
Thor,150000000.0,[u'Kenneth Branagh'],Paramount,181030624.0,268295994.0,Action / Adventure,PG-13,115,3011.0,0.46,18,2493.0,-0.28500000000000003,22,2458.0,-0.145,20,1807.0,-0.408,28,1285.0,-0.47200000000000003,39,1069.0,-0.522,50,21429.0,84752317.0,1,11394.0,-0.467,1,6205.0,-0.547,4,4403.0,-0.29,5,2287.0,-0.562,6,2097.0,-0.41200000000000003,9,1995.0,-0.533,12,1993.0,-0.539,16,2405.0,-0.19399999999999998,20,"[u'Ashley Miller', u'Don Payne', u'Zack Stentz']",Thor
Thor: The Dark World,170000000.0,[u'Alan Taylor'],Buena Vista,206362140.0,438240376.0,Action / Adventure,PG-13,120,1643.0,-0.34700000000000003,25,1623.0,-0.289,29,1488.0,-0.242,33,1187.0,-0.369,40,1857.0,2.0100000000000002,26,1920.0,-0.059000000000000004,29,28251.0,108511114.0,1,11770.0,-0.583,1,6664.0,-0.516,3,4041.0,-0.394,3,2123.0,-0.509,4,2087.0,-0.385,6,7177.0,-0.429,16,3903.0,-0.456,21,2223.0,-0.48,22,"[u'Christopher Markus', u'Stephen McFeely', u'Christopher Yost']",Thor: The Dark World
X-Men,75000000.0,[u'Bryan Singer'],Fox,157299717.0,139039810.0,Action / Adventure,PG-13,104,1058.0,-0.17600000000000002,25,1045.0,-0.10800000000000001,25,899.0,-0.167,27,968.0,0.032,25,839.0,-0.41600000000000004,30,756.0,-0.23,29,25074.0,75850059.0,1,11056.0,-0.546,2,6186.0,-0.441,3,3715.0,-0.46399999999999997,6,2944.0,-0.387,9,2319.0,-0.40399999999999997,12,1705.0,-0.46799999999999997,15,1876.0,-0.20600000000000002,20,1122.0,-0.531,22,[u'David Hayter'],X-Men
X-Men Origins: Wolverine,150000000.0,[u'Gavin Hood'],Fox,179883157.0,193179707.0,Action / Adventure,PG-13,107,1651.0,-0.036000000000000004,20,1634.0,-0.08900000000000001,25,1429.0,-0.29100000000000004,28,1280.0,-0.28300000000000003,32,1058.0,-0.41100000000000003,36,805.0,-0.457,46,25036.0,102624147.0,1,8207.0,-0.672,2,5198.0,-0.43700000000000006,3,3681.0,-0.38200000000000006,6,2408.0,-0.535,8,2011.0,-0.48700000000000004,10,1798.0,-0.48600000000000004,12,2560.0,-0.39299999999999996,15,1441.0,-0.406,23,[u'Skip Woods'],X-Men Origins: Wolverine
X-Men: Days of Future Past,200000000.0,[u'Bryan Singer'],Fox,233921534.0,513941241.0,Action / Adventure,PG-13,131,2185.0,-0.428,25,1527.0,-0.541,33,1941.0,0.519,25,1630.0,-0.17500000000000002,27,1122.0,-0.42,33,871.0,2.2800000000000002,28,32400.0,129469103.0,1,11230.0,-0.653,2,6056.0,-0.51,4,4653.0,-0.358,6,3543.0,-0.329,8,4929.0,-0.46,12,2794.0,-0.43100000000000005,13,2500.0,-0.439,16,2851.0,-0.326,21,[u'Simon Kinberg'],X-Men: Days of Future Past
X-Men: First Class,160000000.0,[u'Matthew Vaughn'],Fox,146408305.0,207215819.0,Action / Adventure,PG-13,131,2449.0,0.188,22,1680.0,-0.46799999999999997,30,1384.0,-0.34299999999999997,35,1453.0,-0.209,39,1465.0,-0.075,42,820.0,-0.629,55,20295.0,73894349.0,1,9353.0,-0.533,2,5271.0,-0.485,4,4694.0,-0.466,7,3062.0,-0.484,11,2602.0,-0.551,13,2217.0,-0.527,16,1946.0,-0.449,21,1915.0,-0.153,21,"[u'Jane Goldman', u'Ashley Miller', u'Bryan Singer', u'Zack Stentz', u'Sheldon Turner ', u'Matthew Vaughn']",X-Men: First Class
X-Men: The Last Stand,210000000.0,[u'Brett Ratner'],Fox,234362462.0,224997093.0,Action / Adventure,PG-13,104,1393.0,-0.154,26,1134.0,-0.258,31,1018.0,-0.267,37,837.0,-0.331,43,632.0,-0.5760000000000001,54,944.0,-0.20800000000000002,62,38301.0,141331162.0,1,12072.0,-0.6829999999999999,2,6041.0,-0.504,3,4006.0,-0.493,7,3776.0,-0.395,10,2522.0,-0.424,12,1669.0,-0.647,14,1400.0,-0.40299999999999997,19,1458.0,-0.41600000000000004,24,"[u'Simon Kinberg', u'Zak Penn']",X-Men: The Last Stand
X2: X-Men United,110000000.0,[u'Bryan Singer'],Fox,214949694.0,192761855.0,Action / Adventure,PG-13,134,2572.0,0.084,15,1513.0,-0.792,25,1489.0,-0.192,27,1259.0,-0.317,35,1254.0,-0.146,38,1011.0,-0.303,42,28774.0,107644861.0,1,13130.0,-0.543,1,6329.0,-0.551,3,5161.0,-0.307,4,2916.0,-0.543,7,2214.0,-0.384,7,2061.0,-0.37,10,1620.0,-0.223,12,1425.0,-0.256,18,"[u'Michael Dougherty', u'Dan Harris', u'David Hayter', u'Zak Penn']",X-men 2
