budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Hellboy,66000000.0,[u'Guillermo del Toro'],Sony (Revolution),59623958.0,39695029.0,Action Horror,PG-13,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9909.0,30004042.0,1,4815.0,-0.512,2,2428.0,-0.52,3,1791.0,-0.435,7,1513.0,-0.405,11,862.0,-0.685,19,702.0,-0.748,34,869.0,-0.441,43,NA,NA,NA,[u'Guillermo del Toro'],ghostworld
Hellboy II: The Golden Army,85000000.0,[u'Guillermo del Toro'],Universal,75986503.0,84401560.0,Action Horror,PG-13,110,875.0,-0.27,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14485.0,46409070.0,1,4530.0,-0.6859999999999999,6,2580.0,-0.465,8,2991.0,-0.545,13,2353.0,-0.494,14,1615.0,-0.5660000000000001,20,1481.0,-0.543,29,1225.0,-0.297,35,890.0,-0.227,36,[u'Guillermo del Toro'],greenhornet
Hercules,100000000.0,[u'Brett Ratner'],Paramount,72688614.0,172131248.0,Action / Adventure,PG-13,98,1100.0,-0.33799999999999997,30,845.0,-0.444,38,811.0,-0.28300000000000003,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,11585.0,41648048.0,2,4482.0,-0.613,4,2859.0,-0.48600000000000004,8,2064.0,-0.632,10,1895.0,-0.613,17,2615.0,-0.252,25,1445.0,-0.5660000000000001,29,1277.0,-0.253,32,1322.0,0.331,25,"[u'Ryan Condal', u'Evan Spiliotopoulos']",hancock
"I, Frankenstein",65000000.0,[u'Stuart Beattie'],Lionsgate,19075290.0,52079302.0,Action Horror,PG-13,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3985.0,10970070.0,6,1830.0,-0.541,9,1302.0,-0.631,16,1383.0,-0.652,25,950.0,-0.682,36,1076.0,-0.11699999999999999,37,1204.0,-0.391,45,848.0,-0.419,52,NA,NA,NA,[u'Stuart Beattie'],hellboy
Iron Monkey,11000000.0,NA,Miramax,14694904.0,NA,Action,PG-13,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6162.0,7547951.0,6,3281.0,-0.46299999999999997,9,1813.0,-0.466,13,985.0,-0.7040000000000001,22,975.0,-0.647,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hellboy2
Josie and the Pussycats,39000000.0,NA,Universal,14271015.0,595000.0,Comedy,PG-13,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2565.0,6556135.0,7,1320.0,-0.485,9,795.0,-0.5910000000000001,15,780.0,-0.5710000000000001,18,535.0,-0.561,26,490.0,-0.638,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Deborah Kaplan & Harry Elfont'],hercules2014
Judge Dredd,90000000.0,[u'Danny Cannon'],Buena Vista,34693481.0,78800000.0,Action / Adventure,R,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8656.0,19077560.0,5,3506.0,-0.595,7,1931.0,-0.549,10,1870.0,-0.454,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Michael De Luca'],historyofviolence
Kick-Ass,30000000.0,[u'Matthew Vaughn'],Lionsgate,48071303.0,48117600.0,Action Comedy,R,117,856.0,-0.299,41,615.0,-0.533,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8276.0,25365824.0,1,4028.0,-0.513,4,2385.0,-0.509,8,1308.0,-0.621,12,1338.0,-0.6459999999999999,14,1360.0,-0.485,23,1576.0,-0.38799999999999996,28,974.0,-0.556,40,1077.0,0.682,31,"[u'Jane Goldman', u'Matthew Vaughn']",ifrankenstein
Kick-Ass 2,28000000.0,[u'Jeff Wadlow'],Universal,28795985.0,32000000.0,Action Comedy,R,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6175.0,18153135.0,5,2165.0,-0.649,9,1780.0,-0.54,18,1280.0,-0.711,23,1005.0,-0.593,32,720.0,-0.58,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Jeff Wadlow'],incredibles
Kingsman: The Secret Service,81000000.0,[u'Matthew Vaughn'],Fox,128261724.0,286089822.0,Action / Adventure,R,129,1691.0,-0.46799999999999997,16,1775.0,-0.198,17,946.0,-0.604,22,1278.0,0.23600000000000002,22,1198.0,-0.231,23,3324.0,0.006999999999999999,22,15475.0,49580949.0,2,7460.0,-0.509,2,4809.0,-0.35200000000000004,2,3691.0,-0.275,4,3339.0,-0.231,3,2880.0,-0.272,5,2344.0,-0.34700000000000003,6,2001.0,-0.365,8,1744.0,-0.335,10,"[u'Jane Goldman', u'Matthew Vaughn']",ironmonkey
