budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
90000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,250690539.0,338700000.0,Sci-Fi Comedy,PG-13,97,1522.0,-0.404,10.0,1432.0,-0.137,10.0,1172.0,-0.246,10.0,1037.0,-0.242,10.0,928.0,-0.235,11.0,852.0,-0.326,13.0,25317.0,76457208.0,1,14435.0,-0.43,1.0,9210.0,-0.345,1.0,5794.0,-0.355,3.0,4175.0,-0.336,5.0,3297.0,-0.285,5.0,2884.0,-0.255,7.0,2224.0,-0.374,10.0,2438.0,-0.067,10.0,[u'Ed Solomon'],Men in Black
140000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,190418803.0,251400000.0,Sci-Fi Comedy,PG-13,88,,,,,,,,,,,,,,,,,,,20575.0,73185365.0,1,9775.0,-0.518,1.0,5858.0,-0.396,3.0,3491.0,-0.42,4.0,2458.0,-0.423,9.0,1492.0,-0.566,11.0,1187.0,-0.531,14.0,1053.0,-0.465,20.0,,,,,Men in Black II
225000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,179020854.0,445005922.0,Sci-Fi Comedy,PG-13,106,1678.0,-0.29,24.0,3279.0,2.41,16.0,2653.0,-0.268,17.0,1751.0,-0.423,25.0,1415.0,-0.274,30.0,1548.0,-0.123,32.0,19539.0,83003553.0,1,9181.0,-0.53,2.0,5452.0,-0.47,4.0,4804.0,-0.272,6.0,3656.0,-0.402,9.0,4609.0,-0.481,13.0,2848.0,-0.464,16.0,2625.0,-0.479,15.0,1662.0,-0.661,21.0,[u'Etan Cohen'],Men in Black III
75000000.0,[u'Henry Selick'],Fox,5411999.0,2210366.0,Fantasy Comedy,PG-13,88,,,,,,,,,,,,,,,,,,,1866.0,3212597.0,11,801.0,-0.564,15.0,659.0,-0.655,21.0,799.0,-0.656,38.0,,,,,,,,,,,,,,,,,Monkeybone
68000000.0,,Universal,29762011.0,3699000.0,Fantasy Comedy,PG,122,636.0,-0.591,52.0,,,,,,,,,,,,,,,,6840.0,14610265.0,6,3330.0,-0.512,8.0,2105.0,-0.423,11.0,1460.0,-0.651,20.0,1590.0,-0.159,18.0,990.0,-0.584,27.0,755.0,-0.425,32.0,715.0,-0.165,31.0,687.0,-0.315,36.0,,Mystery Men
120000000.0,[u'Joseph Kosinski'],Universal,89107235.0,197061337.0,Sci-Fi Adventure,PG-13,125,1105.0,-0.235,26.0,,,,,,,,,,,,,,,,12500.0,47287500.0,1,6035.0,-0.516,2.0,2221.0,-0.667,4.0,2330.0,-0.284,7.0,2090.0,-0.411,8.0,2112.0,-0.624,10.0,1550.0,-0.542,16.0,1236.0,-0.335,20.0,1125.0,-0.212,22.0,"[u'Michael Arndt', u'Karl Gajdusek', u'Joseph Kosinski']",Oblivion
,[u'Simon Wincer'],Paramount,17323326.0,,Period Action,PG,100,,,,,,,,,,,,,,,,,,,3286.0,7095004.0,6,2216.0,-0.324,7.0,1280.0,-0.476,9.0,,,,,,,,,,,,,,,,,,,,The Phantom
11000000.0,,Warner Bros.,11412414.0,5014057.0,Animation,PG,85,,,,,,,,,,,,,,,,,,,2332.0,5457482.0,8,1128.0,-0.543,16.0,1380.0,-0.788,23.0,959.0,-0.68,34.0,885.0,-0.722,64.0,474.0,-0.707,86.0,515.0,6.79,43.0,379.0,-0.664,69.0,,,,,The Powerpuff Girls Movie
,,Fox,38187431.0,28245763.0,Family Adventure,PG,95,,,,,,,,,,,,,,,,,,,8109.0,19534264.0,4,3576.0,-0.559,6.0,2040.0,-0.517,9.0,1501.0,-0.485,12.0,,,,,,,,,,,,,,,,,Mighty Morphin' Power Rangers
60000000.0,[u'Scott Charles Stewart'],Sony / Screen Gems,29136626.0,49172505.0,Action Horror,PG-13,87,,,,,,,,,,,,,,,,,,,6663.0,19083128.0,4,2262.0,-0.66,6.0,1447.0,-0.572,11.0,987.0,-0.793,16.0,1060.0,-0.689,28.0,635.0,-0.748,,,,,,,,,,,[u'Cory Goodman'],Priest
