budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
230000000.0,[u'Marc Webb'],Sony / Columbia,262030663.0,495900000.0,Action / Adventure,PG-13,136,1783.0,-0.472,22.0,1455.0,-0.357,28.0,1266.0,-0.329,32.0,1330.0,-0.153,27.0,1132.0,-0.395,35.0,,,,21041.0,90854677.0,1,12008.0,-0.429,2.0,4670.0,-0.662,3.0,3509.0,-0.367,6.0,3160.0,-0.368,8.0,2103.0,-0.524,12.0,2191.0,-0.644,18.0,2000.0,-0.38,20.0,2805.0,0.909,18.0,"[u'Steve Kloves', u'Alvin Sargent', u'James Vanderbilt']",The Amazing Spider-Man
150000000.0,[u'Kenneth Branagh'],Paramount,181030624.0,268295994.0,Action / Adventure,PG-13,115,3011.0,0.46,18.0,2493.0,-0.285,22.0,2458.0,-0.145,20.0,1807.0,-0.408,28.0,1285.0,-0.472,39.0,1069.0,-0.522,50.0,21429.0,84752317.0,1,11394.0,-0.467,1.0,6205.0,-0.547,4.0,4403.0,-0.29,5.0,2287.0,-0.562,6.0,2097.0,-0.412,9.0,1995.0,-0.533,12.0,1993.0,-0.539,16.0,2405.0,-0.194,20.0,"[u'Ashley Miller', u'Don Payne', u'Zack Stentz']",Thor
170000000.0,[u'Alan Taylor'],Buena Vista,206362140.0,438209262.0,Action / Adventure,PG-13,120,1643.0,-0.347,25.0,1623.0,-0.289,29.0,1488.0,-0.242,33.0,1187.0,-0.369,40.0,1857.0,2.01,26.0,1920.0,-0.059,29.0,28251.0,108511114.0,1,11770.0,-0.583,1.0,6664.0,-0.516,3.0,4041.0,-0.394,3.0,2123.0,-0.509,4.0,2087.0,-0.385,6.0,7177.0,-0.429,16.0,3903.0,-0.456,21.0,2223.0,-0.48,22.0,"[u'Christopher Markus', u'Stephen McFeely', u'Christopher Yost']",Thor: The Dark World
150000000.0,[u'Gavin Hood'],Fox,179883157.0,193179707.0,Action / Adventure,PG-13,107,1651.0,-0.036,20.0,1634.0,-0.089,25.0,1429.0,-0.291,28.0,1280.0,-0.283,32.0,1058.0,-0.411,36.0,805.0,-0.457,46.0,25036.0,102624147.0,1,8207.0,-0.672,2.0,5198.0,-0.437,3.0,3681.0,-0.382,6.0,2408.0,-0.535,8.0,2011.0,-0.487,10.0,1798.0,-0.486,12.0,2560.0,-0.393,15.0,1441.0,-0.406,23.0,[u'Skip Woods'],X-Men Origins: Wolverine
120000000.0,[u'James Mangold'],Fox,132556852.0,282271394.0,Action,PG-13,126,1135.0,-0.386,23.0,1069.0,-0.31,28.0,1146.0,0.01,29.0,1040.0,-0.172,30.0,868.0,-0.339,34.0,805.0,-0.327,41.0,18683.0,73313850.0,1,8104.0,-0.582,2.0,4202.0,-0.607,7.0,3827.0,-0.455,10.0,2425.0,-0.465,15.0,2585.0,-0.273,19.0,1430.0,-0.609,20.0,1418.0,-0.233,20.0,1317.0,-0.206,21.0,"[u'Mark Bomback', u'Scott Frank']",The Wolverine
178000000.0,[u'Bryan Singer'],Fox,155442489.0,388492298.0,Action / Adventure,PG-13,143,,,,,,,,,,,,,,,,,,,22692.0,94173232.0,1,7754.0,-0.658,2.0,4037.0,-0.551,6.0,2965.0,-0.461,7.0,2350.0,-0.494,9.0,2368.0,-0.622,14.0,2148.0,-0.585,19.0,1766.0,-0.286,20.0,1510.0,-0.336,29.0,[u'Simon Kinberg'],X-Men:Apocalypse
110000000.0,[u'Bryan Singer'],Fox,214949694.0,192761855.0,Action / Adventure,PG-13,134,2572.0,0.084,15.0,1513.0,-0.792,25.0,1489.0,-0.192,27.0,1259.0,-0.317,35.0,1254.0,-0.146,38.0,1011.0,-0.303,42.0,28774.0,107644861.0,1,13130.0,-0.543,1.0,6329.0,-0.551,3.0,5161.0,-0.307,4.0,2916.0,-0.543,7.0,2214.0,-0.384,7.0,2061.0,-0.37,10.0,1620.0,-0.223,12.0,1425.0,-0.256,18.0,"[u'Michael Dougherty', u'Dan Harris', u'David Hayter', u'Zak Penn']",X2: X-Men United
210000000.0,[u'Brett Ratner'],Fox,234362462.0,224997093.0,Action / Adventure,PG-13,104,1393.0,-0.154,26.0,1134.0,-0.258,31.0,1018.0,-0.267,37.0,837.0,-0.331,43.0,632.0,-0.576,54.0,944.0,-0.208,62.0,38301.0,141331162.0,1,12072.0,-0.683,2.0,6041.0,-0.504,3.0,4006.0,-0.493,7.0,3776.0,-0.395,10.0,2522.0,-0.424,12.0,1669.0,-0.647,14.0,1400.0,-0.403,19.0,1458.0,-0.416,24.0,"[u'Simon Kinberg', u'Zak Penn']",X-Men: The Last Stand
75000000.0,[u'Bryan Singer'],Fox,157299717.0,139039810.0,Action / Adventure,PG-13,104,1058.0,-0.176,25.0,1045.0,-0.108,25.0,899.0,-0.167,27.0,968.0,0.032,25.0,839.0,-0.416,30.0,756.0,-0.23,29.0,25074.0,75850059.0,1,11056.0,-0.546,2.0,6186.0,-0.441,3.0,3715.0,-0.464,6.0,2944.0,-0.387,9.0,2319.0,-0.404,12.0,1705.0,-0.468,15.0,1876.0,-0.206,20.0,1122.0,-0.531,22.0,[u'David Hayter'],X-Men
200000000.0,[u'Bryan Singer'],Fox,233921534.0,513941241.0,Action / Adventure,PG-13,131,2185.0,-0.428,25.0,1527.0,-0.541,33.0,1941.0,0.519,25.0,1630.0,-0.175,27.0,1122.0,-0.42,33.0,871.0,2.28,28.0,32400.0,129469103.0,1,11230.0,-0.653,2.0,6056.0,-0.51,4.0,4653.0,-0.358,6.0,3543.0,-0.329,8.0,4929.0,-0.46,12.0,2794.0,-0.431,13.0,2500.0,-0.439,16.0,2851.0,-0.326,21.0,[u'Simon Kinberg'],X-Men: Days of Future Past
160000000.0,[u'Matthew Vaughn'],Fox,146408305.0,207215819.0,Action / Adventure,PG-13,131,2449.0,0.188,22.0,1680.0,-0.468,30.0,1384.0,-0.343,35.0,1453.0,-0.209,39.0,1465.0,-0.075,42.0,820.0,-0.629,55.0,20295.0,73894349.0,1,9353.0,-0.533,2.0,5271.0,-0.485,4.0,4694.0,-0.466,7.0,3062.0,-0.484,11.0,2602.0,-0.551,13.0,2217.0,-0.527,16.0,1946.0,-0.449,21.0,1915.0,-0.153,21.0,"[u'Jane Goldman', u'Ashley Miller', u'Bryan Singer', u'Zack Stentz', u'Sheldon Turner ', u'Matthew Vaughn']",X-Men: First Class
165000000.0,[u'Scott Derrickson'],Buena Vista,232641920.0,445076475.0,Action / Adventure,PG-13,115,1690.0,-0.607,23.0,1913.0,-0.303,29.0,1407.0,-0.401,33.0,1365.0,-0.236,42.0,1715.0,1.3,31.0,1518.0,-0.203,34.0,28331.0,109982169.0,1,13881.0,-0.51,1.0,9366.0,-0.477,2.0,5579.0,-0.404,4.0,3035.0,-0.469,5.0,2287.0,-0.291,5.0,3509.0,-0.435,12.0,3424.0,-0.484,17.0,2424.0,-0.387,19.0,"[u'Jon Spaihts', u'Scott Derrickson', u'C. Robert Cargill']",Doctor Strange
200000000.0,[u'James Gunn'],Buena Vista,248420911.0,383834510.0,Action / Adventure,PG-13,137,,,,,,,,,,,,,,,,,,,42134.0,183157419.0,1,,,,,,,,,,,,,,,,,,,,,,,,,[u'James Gunn'],Guardians of the Galaxy Vol. 2
97000000.0,[u'James Mangold'],Fox,225507085.0,381324421.0,Action / Adventure,R,135,1066.0,-0.533,22.0,,,,,,,,,,,,,,,,28201.0,114806733.0,1,12705.0,-0.55,2.0,6722.0,-0.521,3.0,4539.0,-0.421,5.0,3590.0,-0.419,6.0,2932.0,-0.315,10.0,1914.0,-0.526,13.0,1735.0,-0.517,18.0,1651.0,-0.225,20.0,"[u'Scott Frank', u'Michael Green', u'James Mangold']",Logan
